Unnamed: 0,VIN,Price,Year,Make,Model.Group,Model.Detail,Body.Style,Color,Damage.Description,Odometer,Est..Retail.Value,Repair.cost,Engine,Drive,Cylinders,Sale.Status,ImportPrice
222,2HGFC2F75HH502416,4300,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,RED,Front,29636,16942,12067,2.0,F,4,Pure,5041
223,1HGCR2F36HA038999,3850,2017,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,GRAY,Front,92816,14369,0,2.4,F,4,Pure,3742
224,19XFC2F53HE210174,3000,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLUE,Rear,35561,13043,10099,2.0,F,4,Minimum,3508
225,19XFC2F78HE226159,3900,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,BLACK,Front,56219,13900,15484,2.0,F,4,Pure,3066
226,1HGCR2F33HA170764,2050,2017,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,BLACK,Front,56895,14826,13920,2.4,F,4,Pure,3533
227,1HGCR2F34HA267780,4550,2017,HONDA,ACCORD LX,ACCORD LX,SEDAN 4D,CHARCOAL,Rear,31580,15864,11537,2.4,F,4,Minimum,2613
228,2HGFC2F5XHH555983,2350,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,CHARCOAL,Rear,7724,19333,0,2.0,F,4,Pure,3871
229,1HGCR2F76HA294479,5500,2017,HONDA,ACCORD EX,ACCORD EX,SEDAN 4D,BLACK,Front,11467,19748,15786,2.4,F,4,Pure,2728
230,19XFC2F55HE021297,2750,2017,HONDA,CIVIC LX,CIVIC LX,SEDAN 4D,BLUE,Front,20544,15871,10685,2.0,F,4,Pure,4366
231,1HGCR2F50HA232834,5800,2017,HONDA,ACCORD SPO,ACCORD SPO,SEDAN 4D,SILVER,Front,58013,15954,15129,2.4,F,4,Pure,2936
232,2HGFC2F75HH567721,3900,2017,HONDA,CIVIC,CIVIC EX,SEDAN 4D,RED,Side,17884,16832,12798,2.0,F,4,Minimum,4521
