"","VIN","Price","Year","Make","Model.Group","Model.Detail","Body.Style","Color","Damage.Description","Odometer","Est..Retail.Value","Repair.cost","Engine","Drive","Cylinders","Sale.Status"
"616","1HGCR2F14HA231683",8100,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","WHITE","Rear",54187,16966,0,2.4,"F",4,"Pure"
"617","2T1BURHE3HC750236",3400,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Front",61557,14416,11618,1.8,"F",4,"Minimum"
"618","4T1BF1FK5HU316256",6600,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Rear",65503,16008,7006,2.5,"F",4,"Pure"
"619","5TFRX5GN8HX079406",5500,2017,"TOYOTA","TACOMA ACC","TACOMA ACC","CLUB CAB","GRAY","Front",81489,18574,9496,2.7,"R",4,"Pure"
"620","5YFBURHE9HP659780",4700,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",55900,12693,0,1.8,"F",4,"Pure"
"621","2T3WFREV8HW396428",10400,2017,"TOYOTA","RAV4 XLE","RAV4 XLE","4DR SPOR","GRAY","Rear",23417,21735,0,2.5,"F",4,"Pure"
"622","1HGCR2F57HA005723",3250,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","WHITE","Side",26185,18745,16445,2.4,"F",4,"Minimum"
"623","4T1BK1FK6HU578668",9300,2017,"TOYOTA","CAMRY","Camry XSE","SEDAN 4D","BLACK","Side",29338,20035,10589,3.5,"F",6,"Pure"
"624","JTJHY7AX1H4237095",33250,2017,"LEXUS","LX 570","LX 570","4DR SPOR","WHITE","Side",18034,88153,23156,5.7,"All",8,"Minimum"
"625","19XFC2F54HE053044",3100,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","GRAY","Side",26445,15445,12890,2,"F",4,"Minimum"
"626","WBA8E1G57HNU13301",7750,2017,"BMW","3 SERIES","320 I","SEDAN 4D","BLACK","Front",38660,19545,20189,2,"R",4,"Minimum"
"627","5YFBURHE2HP585490",3550,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Front",101906,9346,9887,1.8,"F",4,"Minimum"
"628","19XFC2F79HE048018",3800,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","BLACK","ALL OVER",27181,17073,14980,2,"F",4,"Minimum"
"629","4T1BF1FK7HU340817",4700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Rear",53921,14323,14148,2.5,"F",4,"Minimum"
"630","2T1BURHEXHC894883",4850,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Front",24141,17075,12732,1.8,"F",4,"Pure"
"631","1HGCR2F14HA083888",6600,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","GRAY","Front",38486,16755,14450,2.4,"F",4,"Minimum"
"632","2T1BURHE2HC748395",4050,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",54411,12328,13411,1.8,"F",4,"Minimum"
"633","5J8TB3H78HL007719",5800,2017,"ACURA","RDX ADVANC","RDX ADVANC","4DR SPOR","GRAY","Front",39137,30686,20768,3.5,"F",6,"Pure"
"634","19UDE2F38HA013750",3350,2017,"ACURA","ILX","ILX BASE","SEDAN 4D","BLUE","Front",5587,20807,0,2.4,"F",4,"Pure"
"635","JTMZFREV2HD094112",6200,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","WHITE","Rear",30778,18815,0,2.5,"F",4,"Minimum"
"636","3MYDLBYV5HY187825",4100,2017,"TOYOTA","YARIS","YARIS IA","SEDAN 4D","WHITE","Rear",20004,12617,9642,1.5,"F",4,"Pure"
"637","JTHBA1D25H5059971",10400,2017,"LEXUS","IS","IS 200T","SEDAN 4D","WHITE","Rear",43663,23904,15941,2,"R",4,"Minimum"
"638","5UXKR0C58H0V65435",17600,2017,"BMW","X5 XDRIVE3","X5 XDRIVE3","4DR SPOR","GRAY","Front",32115,46687,0,3,"All",6,"Minimum"
"639","2T3RFREV7HW556540",12000,2017,"TOYOTA","RAV4 XLE","RAV4 XLE","4DR SPOR","WHITE","Front",25622,21732,16605,2.5,"All",4,"Minimum"
"640","1HGCT1B73HA002370",4600,2017,"HONDA","ACCORD EX","ACCORD EX","COUPE","CHARCOAL","Front",44965,16696,10830,2.4,"F",4,"Minimum"
"641","4T1BF1FK4HU343965",7100,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",37556,14080,11642,2.5,"F",4,"Pure"
"642","JTJHY7AXXH4241145",43250,2017,"LEXUS","LX 570","LX 570","4DR SPOR","WHITE","Front",21500,72663,61608,5.7,"All",8,"Minimum"
"643","2T1BURHE9HC784066",3850,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",26027,13637,0,1.8,"F",4,"Minimum"
"644","19XFC2F73HE004998",3700,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","GRAY","Front",40153,14733,0,2,"F",4,"Minimum"
"645","1HGCR2F80HA254987",6100,2017,"HONDA","ACCORD EXL","ACCORD EXL","SEDAN 4D","SILVER","Front",25207,20549,0,2.4,"F",4,"Minimum"
"646","2T1BURHEXHC909074",3300,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Front",72177,12900,0,1.8,"F",4,"Minimum"
"647","4T1BF1FK4HU651041",5900,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Side",52412,9274,0,2.5,"F",4,"Pure"
"648","4T1BF1FK2HU806461",4450,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",22161,16964,20171,2.5,"F",4,"Pure"
"649","2T3BFREV3HW580285",7300,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","BLACK","Front",24871,19933,15594,2.5,"All",4,"Pure"
"650","4T1BF1FK3HU716963",6700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",25572,17438,0,2.5,"F",4,"Minimum"
"651","19XFC1F38HE008021",4050,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","WHITE","Front",35275,14554,8783,1.5,"F",4,"Pure"
"652","1HGCR2F37HA042401",5100,2017,"HONDA","ACCORD LX","ACCORD LX","SEDAN 4D","MAROON","Side",27865,18115,14157,2.4,"F",4,"Pure"
"653","1N4AA6AP0HC378514",7100,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BURGUNDY","Front",47321,23676,16491,3.5,"F",6,"Minimum"
"654","2T1BURHE8HC897474",2500,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",14819,14022,11813,1.8,"F",4,"Pure"
"655","JTMRFREV6HD199669",8600,2017,"TOYOTA","RAV4 XLE","RAV4 XLE","4DR SPOR","CHARCOAL","ROLLOVER",28853,20831,18678,2.5,"All",4,"Minimum"
"656","5UXWX9C58H0T02955",6300,2017,"BMW","X3","X3 XDRIVE2","4DR SPOR","BEIGE","Side",28739,28629,23045,2,"All",4,"Pure"
